date,price
2023-09-25,183.15
2023-09-26,184.5
2023-09-27,182.55
2023-09-28,180.9
2023-09-29,179.1
2023-10-02,181.95000000000002
2023-10-03,180.25
2023-10-04,178.5
2023-10-05,177.95000000000002
2023-10-06,178.5
2023-10-09,178.5
2023-10-10,180.3
2023-10-11,180.25
2023-10-13,187.3
2023-10-16,187.15
2023-10-17,189.9
2023-10-18,191.3
2023-10-19,195.1
2023-10-20,198
2023-10-23,198.8
2023-10-24,201
2023-10-25,196.25
2023-10-26,195
2023-10-27,195.3
2023-10-30,192.85000000000002
2023-10-31,199.1
2023-11-01,193.1
2023-11-03,203.15
2023-11-06,207.15
2023-11-07,206.05
2023-11-08,208.2
2023-11-09,211.75
2023-11-10,209.05
2023-11-13,211.1
2023-11-14,209.6
2023-11-16,209.75
2023-11-17,202.95000000000002
2023-11-20,209
2023-11-21,208.25
2023-11-22,209.5
2023-11-23,209.5
2023-11-24,208.15
2023-11-27,209.25
2023-11-28,214.5
2023-11-29,212.45000000000002
2023-11-30,229.5
2023-12-01,220.75
2023-12-04,215.7
2023-12-05,221.6
2023-12-06,214.05
2023-12-07,217
2023-12-08,216.1
2023-12-11,223.05
2023-12-12,224.85000000000002
2023-12-13,227.75
2023-12-14,231.6
2023-12-15,230.75
2023-12-18,231
2023-12-19,242.2
2023-12-20,233.6
2023-12-21,236.45000000000002
2023-12-22,235.1
2023-12-26,236.7
2023-12-27,241.6
2023-12-28,241.65
2024-01-02,233.4
2024-01-03,228.35000000000002
2024-01-04,228
2024-01-05,224.7
2024-01-08,222.15
2024-01-09,226.05
2024-01-10,223
2024-01-11,226
2024-01-12,222.05
2024-01-15,221.15
2024-01-16,225.85000000000002
2024-01-17,221
2024-01-18,221
2024-01-19,226.95000000000002
2024-01-22,234.25
2024-01-23,235.6
2024-01-24,234.4
2024-01-25,231.1
2024-01-26,236.45000000000002
2024-01-29,233.55
2024-01-30,237.2
2024-01-31,237.85000000000002
2024-02-01,238.65
2024-02-02,236.65
2024-02-05,234.05
2024-02-06,232.45000000000002
2024-02-07,235.1
2024-02-08,234.25
2024-02-09,237.65
2024-02-14,230.9
2024-02-15,233.05
2024-02-16,233.6
2024-02-19,233.8
2024-02-20,233.65
2024-02-21,234.55
2024-02-22,233.3
2024-02-23,230.7
2024-02-26,231.35000000000002
2024-02-27,229.35000000000002
2024-02-28,233.6
2024-02-29,236.25
2024-03-01,227
2024-03-04,228.1
2024-03-05,223.4
2024-03-06,227.3
2024-03-07,235.1
2024-03-08,226.65
2024-03-11,226.4
2024-03-12,227.6
2024-03-13,223.3
2024-03-14,224.9
2024-03-15,223.7
2024-03-18,223.2
2024-03-19,224.9
2024-03-20,224.05
2024-03-21,228.4
2024-03-22,227.3
2024-03-25,228.35000000000002
2024-03-26,231.5
2024-03-27,234.95000000000002
2024-03-28,232.55
2024-04-01,236.45000000000002
2024-04-02,244.3
2024-04-03,252.05
2024-04-04,256.2
2024-04-05,263.8
2024-04-08,261.95
2024-04-09,265.2
2024-04-10,263.8
2024-04-11,271.35
2024-04-12,277.05
2024-04-15,276.9
2024-04-16,283.8
2024-04-17,298.6
2024-04-18,287.9
2024-04-19,289.95
2024-04-22,277.05
2024-04-23,273
2024-04-24,278.25
2024-04-25,282.9
2024-04-26,281.1
2024-04-29,285
2024-04-30,267.95
2024-05-02,257.2
2024-05-03,250.1
2024-05-06,242.75
2024-05-07,244.65
2024-05-08,245.85000000000002
2024-05-09,251
2024-05-10,250.6
2024-05-13,243.85000000000002
2024-05-14,250.2
2024-05-15,248.3
2024-05-16,246.3
2024-05-17,257.8
2024-05-20,257.95
2024-05-21,271.85
2024-05-22,276.15000000000003
2024-05-23,269.8
2024-05-24,273.25
2024-05-27,273.25
2024-05-28,290.05
2024-05-29,288.05
2024-05-31,278.65000000000003
2024-06-03,284.2
2024-06-04,293.9
2024-06-05,291.3
2024-06-06,294.3
2024-06-07,281.85
2024-06-10,277.35
2024-06-11,276.25
2024-06-12,281.3
2024-06-13,283.55
2024-06-14,281.05
2024-06-17,285
2024-06-18,283.9
